ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,188.83,128,15.81,62.721,127,15.82,52184460
4096,2048,211.64,128,14.81,64.719,127,14.81,80373132
6144,2048,208.23,128,14.75,67.589,127,14.76,108561804
8192,2048,205.86,128,14.60,67.781,127,14.60,136750476
10240,2048,204.02,128,14.55,68.313,127,14.56,164939148
12288,2048,201.90,128,14.48,68.729,127,14.49,193127820
14336,2048,200.27,128,14.43,68.937,127,14.44,221316492
16384,2048,197.52,128,14.36,69.545,127,14.37,249505164
18432,2048,195.40,128,14.30,69.556,127,14.31,277693836
20480,2048,192.60,128,14.25,69.832,127,14.26,305882508
22528,2048,189.89,128,14.20,70.102,127,14.21,334071180
24576,2048,189.26,128,14.12,70.219,127,14.13,362259852
26624,2048,187.97,128,14.07,70.867,127,14.08,390448524
28672,2048,185.73,128,14.01,71.021,127,14.02,418637196
30720,2048,184.47,128,13.96,71.540,127,13.97,446825868
32768,2048,182.67,128,13.84,71.588,127,13.85,475014540
34816,2048,178.59,128,13.75,72.377,127,13.75,503203212
36864,2048,178.04,128,13.71,72.470,127,13.72,531391884
38912,2048,176.45,128,13.66,73.064,127,13.67,559580556
40960,2048,173.44,128,13.61,73.314,127,13.62,587769228
43008,2048,171.97,128,13.58,73.253,127,13.58,615957900
45056,2048,171.06,128,13.53,73.640,127,13.53,644146572
47104,2048,170.01,128,13.50,73.636,127,13.50,672335244
49152,2048,168.60,128,13.45,73.930,127,13.46,700523916
51200,2048,166.40,128,13.39,74.653,127,13.40,728712588
53248,2048,164.91,128,13.36,74.762,127,13.37,756901260
55296,2048,163.95,128,13.31,74.734,127,13.32,785089932
57344,2048,162.38,128,13.27,74.855,127,13.28,813278604
59392,2048,160.86,128,13.24,75.181,127,13.24,841467276
61440,2048,158.86,128,13.20,75.431,127,13.20,869655948
63488,2048,157.48,128,13.16,75.700,127,13.17,897844620
65536,2048,157.49,128,13.12,75.875,127,13.12,0
