ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
128,128,42.94,0,0.00,0.000,0,0.00,0
512,512,131.68,0,0.00,0.000,0,0.00,0
2048,2048,206.44,0,0.00,0.000,0,0.00,0
8192,8192,251.16,0,0.00,0.000,0,0.00,0
32768,32768,237.27,0,0.00,0.000,0,0.00,0
65536,65536,218.54,0,0.00,0.000,0,0.00,0
131072,131072,185.49,0,0.00,0.000,0,0.00,0
262144,262144,147.18,0,0.00,0.000,0,0.00,0
393216,393216,124.66,0,0.00,0.000,0,0.00,0
65536,65536,209.86,0,0.00,0.000,0,0.00,0
131072,131072,181.13,0,0.00,0.000,0,0.00,0
65536,65536,205.31,0,0.00,0.000,0,0.00,0
