ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,50.44,128,9.88,2229.134,127,11.85,52184460
4096,2048,58.92,128,10.07,1886.548,127,11.73,80373132
6144,2048,59.12,128,10.14,1809.678,127,11.74,108561804
8192,2048,58.61,128,10.25,1585.637,127,11.65,136750476
10240,2048,58.72,128,10.31,1476.563,127,11.62,164939148
12288,2048,58.42,128,10.30,1451.544,127,11.58,193127820
14336,2048,57.86,128,10.11,1365.242,127,11.25,221316492
16384,2048,58.16,128,9.68,2154.885,127,11.48,249505164
18432,2048,59.68,128,9.88,1871.349,127,11.46,277693836
20480,2048,59.12,128,9.88,1795.512,127,11.38,305882508
22528,2048,58.28,128,10.05,1583.258,127,11.40,334071180
24576,2048,57.81,128,10.08,1499.240,127,11.34,362259852
26624,2048,57.87,128,10.07,1435.590,127,11.27,390448524
28672,2048,57.55,128,9.96,1498.626,127,11.19,418637196
30720,2048,57.43,128,9.48,2158.104,127,11.20,446825868
32768,2048,58.82,128,9.63,1867.686,127,11.12,475014540
34816,2048,58.17,128,9.65,1790.851,127,11.07,503203212
36864,2048,57.83,128,9.80,1565.425,127,11.06,531391884
38912,2048,57.26,128,9.85,1485.540,127,11.04,559580556
40960,2048,56.79,128,9.85,1425.113,127,10.98,587769228
43008,2048,56.46,128,9.74,1379.119,127,10.80,615957900
45056,2048,56.58,128,9.28,2159.979,127,10.93,644146572
47104,2048,57.51,128,9.46,1865.511,127,10.89,672335244
49152,2048,57.07,128,9.47,1797.994,127,10.85,700523916
51200,2048,56.36,128,9.58,1586.991,127,10.79,728712588
53248,2048,55.64,128,9.68,1479.249,127,10.82,756901260
55296,2048,55.63,128,9.66,1450.118,127,10.77,785089932
57344,2048,55.41,128,9.56,1392.428,127,10.59,813278604
59392,2048,55.06,128,9.12,2186.541,127,10.73,841467276
61440,2048,56.32,128,9.35,1845.208,127,10.72,869655948
63488,2048,55.88,128,9.38,1767.512,127,10.70,897844620
65536,2048,54.96,128,9.49,1567.406,127,10.66,0
